customerID,firstVisitDate,secondVisitDate,articleID,section,author,headline,topicKeywords,totalVisits,wordCount,videoCount
0,2018-03-13 08:41:28 UTC,2018-04-14 00:00:00 UTC,SB11210326209662973945104584092013974171076,WSJ_Business,Theo+Francis,"WSJ_Article_Business_Are You Underpaid? In a First, U.S. Firms Reveal How Much They Pay Workers",ceo|ceo to median pay ratio|compensation|darius adamczyk|david jahn|disclosure|dodd frank|employee|g,3,1269.0,0.0
1,2018-03-14 08:21:54 UTC,,SB11704195083378974371404584099570957708050,WSJ_Business,Paul Ziobro,WSJ_Article_Business_Drones Are Watching: Railroad Irks Workers With Unmanned Aircraft,data|drone|drones|employee|employer|employers|industrial|observe|positive train control|privacy|safe,1,917.0,0.0
2,2018-03-13 06:18:59 UTC,,SB12775101498795324251604584089331231148204,WSJ_Opinion,Francesco Ronchi,WSJ_Article_Commentary (U.S.)_Italian Voters Decide to Give Populism a Chance,5-star movement| election|italy| populism| the league|economic performance|indicators|economic news|,1,895.0,0.0
3,2018-03-15 14:18:43 UTC,,SB11027093093037343542404584101860399949656,WSJ_Business,Tim+Higgins,WSJ_Article_Autos_Tesla’s Make-Or-Break Moment Is Fast Approaching,elon musk |tesla|tesla cash burn|tesla debt|tesla model 3|Tesla|TSLA|Advanced Micro Devices|AMD:US:U,1,951.0,0.0
4,2018-03-16 12:56:19 UTC,,SB11027093093037343542404584103340219066918,WSJ_Markets,Laura+Saunders,WSJ_Article_Tax Report_Do You Own Bitcoin? The IRS Is Coming for You,asset|bitcoin|capital gains |coinbase|cryptocurrency|digital currency|digital-currency wallet |ether,1,903.0,1.0
5,2018-03-13 14:26:42 UTC,,SB10053721253826474326804584099213856176886,WSJ_Politics,A+Wall+Street+Journal+Roundup,WSJ_Article_Politics and Policy_Donald Trump and Rex Tillerson: Timeline of Their Ups and Downs,donald trump|gina haspel|mike pompeo|president trump|rex tillerson|rex tillerson fired|secretary of,1,947.0,0.0
6,2018-03-18 18:13:23 UTC,,SB12008635076439604245104584087373693353570,WSJ_Opinion,Alexandra+DeSanctis,WSJ_Article_Houses of Worship_Notre Dame Becomes a Bit Less Catholic,birth control|catholic church|obama administration|obamacare|religious conservatism|university of no,1,819.0,0.0
7,2018-03-13 11:59:08 UTC,,SB10053721253826474326804584099101464018882,WSJ_Politics,Michael+C.+Bender,WSJ_Article_Politics and Policy_Trump’s Personal Assistant Fired Over Security Issue,2020 campaign|aide fired|mcentee fired|personal assistant|security issue|trump staff turnover|Donald,1,657.0,0.0
8,2018-03-12 18:46:24 UTC,,SB10053721253826474326804584097180460822064,WSJ_Markets,Liz+Hoffman,WSJ_Article_Markets Main_Goldman Sachs Puts David Solomon in Line to Be Next CEO,david solomon|goldman|goldman sachs ceo|goldman sachs succession|harvey schwartz|lloyd blankfein|sac,1,1169.0,0.0
9,2018-03-16 13:37:01 UTC,,SB11027093093037343542404584105290821213788,WSJ_Politics,Michael+C.+Bender,WSJ_Article_Politics and Policy_Donald Trump and John Kelly Reach Truce,cabinet|chief of staff|firings|john kelly|staff turnover|trump|trump administration|white house|Dona,1,1274.0,0.0
10,2018-03-09 10:05:40 UTC,,SB11210326209662973945104584089602816566032,WSJ_Markets,Christina+Rexrode,WSJ_Article_Markets Main_Mortgage Rates at a Four-Year High Threaten to Roil Housing,housing|housing data|housing market|mortgage rates|refinancing|PNC Financial Services Group|PNC|econ,1,1150.0,0.0
11,2018-03-09 10:14:03 UTC,,SB12775101498795324251604584089332421601444,WSJ_Life,Andrew+Beaton,WSJ_Article_NFL_The Quarterback Whose Decision Will Upend the NFL,case keenum|cousins|kirk cousins|nfl free agency|quarterbacks|redskins|sam bradford|teddy bridgewate,1,1150.0,0.0
12,2018-03-13 09:48:07 UTC,2018-06-01 00:00:00 UTC,SB10053721253826474326804584099101464018882,WSJ_Politics,Michael C. Bender,WSJ_Article_Politics and Policy_Trump’s Personal Assistant Is Fired,aide fired|mcentee fired|personal assistant|security issue|trump staff turnover|Donald Trump|John Mc,4,657.0,0.0
12,2018-03-13 09:48:05 UTC,2018-06-01 00:00:00 UTC,SB10053721253826474326804584099101464018882,WSJ_Politics,Michael C. Bender,WSJ_Article_Politics and Policy_Trump’s Personal Assistant Is Fired,aide fired|mcentee fired|personal assistant|security issue|trump staff turnover|Donald Trump|John Mc,4,657.0,0.0
13,2018-03-13 16:15:59 UTC,,SB11704195083378974371404584097403724108802,WSJ_Business,Khadeeja Safdar,"WSJ_Article_Business_How Your Returns Are Used Against You at Best Buy, Other Retailers",best buy|best buy returns|return fraud|returning merchandise|returns|store returns|the retail equati,1,1044.0,1.0
14,2018-03-13 23:57:34 UTC,,SB10053721253826474326804584099101464018882,WSJ_Politics,Michael C. Bender|Rebecca Ballhaus,WSJ_Article_Politics and Policy_Trump’s Personal Assistant Is Fired,2020 campaign|aide fired|mcentee fired|personal assistant|security issue|trump staff turnover|Donald,1,657.0,0.0
15,2018-03-16 00:17:12 UTC,,SB10053721253826474326804584099101464018882,WSJ_Politics,Michael C. Bender|Rebecca Ballhaus,WSJ_Article_Politics and Policy_Trump’s Personal Assistant Is Fired,2020 campaign|aide fired|mcentee fired|personal assistant|security issue|trump staff turnover|Donald,1,657.0,0.0
